ablation,method,regime,delta_qlike_vs_rolling_best_mean,delta_qlike_vs_rolling_best_median,delta_underprediction_loss_vs_rolling_best_mean,delta_underprediction_loss_vs_rolling_best_median,delta_qlike_vs_har_mean,delta_qlike_vs_har_median,delta_underprediction_loss_vs_har_mean,delta_underprediction_loss_vs_har_median,delta_qlike_vs_vix_switch_mean,delta_qlike_vs_vix_switch_median,delta_underprediction_loss_vs_vix_switch_mean,delta_underprediction_loss_vs_vix_switch_median
full,figarch,all,-2895.7132997240788,0.11580141782993938,-0.016003666669039483,-0.01544561354901295,-46056.37546112476,0.12180396774084482,-0.01621110509007152,-0.0149640536136655,0.1645903920127084,0.14981560810580766,-0.021991873976091415,-0.021645056496264102
full,figarch,high,-8684.017406073875,-0.14827987613535315,-0.04191059316697835,-0.03915857168638465,-120961.0197643074,-0.1462284325104536,-0.04475945223871824,-0.04236814795560175,-0.3048653589788197,-0.29742772348362334,-0.04647949530654039,-0.041917211426989946
full,figarch,low,0.49364228604887733,0.4797881076049584,-0.000841167629468095,-0.00019564679588563724,0.47790101276166536,0.4641750567039803,-7.01008933485885e-05,-5.286019227522769e-05,0.6049896538038392,0.6165382237111746,-0.002141129429898202,-0.0017404141124051
full,figarch,mid,0.29739257815463344,0.2829469945472505,-0.005244700066614607,-0.005314829342005001,-17169.54826711476,0.2141807855195789,-0.0037869727701478734,-0.00321547876165595,0.19368619987237543,0.18353077892384392,-0.01734872266303424,-0.01562836756239397
full,garch_t,all,-2895.720524844754,0.10684457672548581,-0.01580407801950195,-0.015321351388896402,-46056.38268624543,0.11284712663639124,-0.016011516440533984,-0.015136533902488102,0.15736527133736575,0.1371301188816916,-0.021792285326553886,-0.021583370672909802
full,garch_t,high,-8684.018437492976,-0.15496052802502122,-0.04115038022461557,-0.038507126367892594,-120961.0207957265,-0.13819091862713082,-0.04399923929635546,-0.042474909692722496,-0.30589677807960997,-0.29954192411389585,-0.04571928236417761,-0.04202397316411069
full,garch_t,low,0.4870501183069611,0.47978677639854256,-0.000865869828749566,-0.00021151211403533246,0.4713088450197492,0.4626375011597668,-9.480309263005945e-05,-0.00010015669348559545,0.5983974860619231,0.6165368925047587,-0.0021658316291796723,-0.0017561658888468929
full,garch_t,mid,0.28333156527914943,0.2661782844192919,-0.005381899980763955,-0.0057147575131629,-17169.562328127635,0.18675818349136405,-0.0039241726842972205,-0.0031005466549932003,0.17962518699689142,0.17318419249565492,-0.017485922577183587,-0.015171384392646661
full,gru,all,-2895.8124580107155,0.09192448699235592,0.02249023386389173,0.023770625452002446,-46056.4746194114,0.09226483375533126,0.022282795442859698,0.02163464345971445,0.06543210537641683,0.07146543105907618,0.0165020265568398,0.0164979939050457
full,gru,high,-8683.298851988267,0.4982575537843393,0.0528006674957657,0.0540264293669228,-120960.30121022178,0.4975732205139559,0.04995180842402582,0.046269099291771504,0.41368872662924633,0.39524012017832505,0.04823176535620365,0.0486226220166241
full,gru,low,-0.19488880763279168,-0.21781331371238405,0.0013062794491514398,0.0010068184384337997,-0.21063008092000357,-0.2022963574042786,0.0020773461852709465,0.001639879093813472,-0.08354143987782973,-0.06464594878932371,6.31764872133333e-06,0.0
full,gru,mid,-0.030414258207294587,-0.027597507101652756,0.01335140487785805,0.013339157468944351,-17169.876073951124,-0.008869199820631161,0.014809132174324785,0.0126801422933754,-0.13412063648955264,-0.11007373193306988,0.0012473822814384168,0.000839125055046101
full,har,all,43160.66216140067,-0.0030947672778174895,0.00020743842103203349,0.00029319815282004974,0.0,0.0,0.0,0.0,46056.540051516764,-0.027767102833428536,-0.005780768886019899,-0.0058264374957553485
full,har,high,112277.00235823351,-0.0035603930443143528,0.002848859071739885,0.002834762296729302,0.0,0.0,0.0,0.0,120960.71489894843,-0.17509267967744058,-0.0017200430678221631,-0.0007790327223698434
full,har,low,0.01574127328721191,0.008131601021954371,-0.0007710667361195065,-0.00011783425804386943,0.0,0.0,0.0,0.0,0.12708864104217385,0.0904931280277911,-0.0020710285365496133,-0.0016320001575351223
full,har,mid,17169.845659692914,-0.012219314955475798,-0.0014577272964667331,-0.0011444708707609003,0.0,0.0,0.0,0.0,17169.74195331463,-0.12865117159351708,-0.013561749892886367,-0.01201865721465575
full,regime_high_branch,all,-2895.937557548146,-0.01918946053794443,-0.005378729363604451,-0.005296266344383,-46056.599718948826,-0.013549287975192809,-0.005586167784636484,-0.004865261875875451,-0.05966743205408187,-0.05159065429467638,-0.011366936670656384,-0.0115102464483531
full,regime_high_branch,high,-8683.980277744893,-0.11080064895420835,-0.0160885983696884,-0.014692946400031597,-120960.98263597842,-0.09072443412279943,-0.018937457441428284,-0.017229843418336655,-0.2677370299965549,-0.26863282826824664,-0.020657500509250446,-0.01908863387474715
full,regime_high_branch,low,0.07838079184419938,0.06941813437717509,-0.000833163570606114,-0.00015463581427714975,0.06263951855698748,0.06803689696156709,-6.209683448660742e-05,-4.3608807753807086e-05,0.1897281595991613,0.17768286931014377,-0.0021331253710362204,-0.0016756089652889294
full,regime_high_branch,mid,0.02661060686007589,0.028169474112675966,-0.00345437343469555,-0.0035256492173387005,-17169.819049086054,0.04057180299574851,-0.0019966461382288168,-0.0013490824558520004,-0.07709577142218216,-0.08984369038523728,-0.015558396031115182,-0.01353805002180235
full,regime_low_branch,all,338.1132233465001,-0.00747340655555645,-0.0003422370097159507,9.354500256720036e-05,-42822.54893805418,-0.009446278272595199,-0.0005496754307479842,3.2549740547699324e-05,3233.9911134625922,-0.04396239220964934,-0.006330444316767884,-0.0064294709671175
full,regime_low_branch,high,191.8733613317552,-0.03720536160739049,-0.002671502558781453,-0.0022644951669937054,-112085.12899690175,-0.03498327448079824,-0.005520361630521338,-0.0050352929041949,8875.585902046652,-0.21007595415823882,-0.007240404698343501,-0.007412526592150852
full,regime_low_branch,low,0.023536382163434216,0.025704880023698917,-0.0008361362158745429,-0.00017037984373597862,0.007795108876222302,0.004452043797919386,-6.506947975503623e-05,-5.552291510545038e-05,0.13488374991839613,0.11556491719521182,-0.0021360980163046494,-0.0016649553096907497
full,regime_low_branch,mid,-0.012315600399810682,-0.006140778624121143,-0.0029655642841491334,-0.0027842379160226503,-17169.85797529331,0.010480577069027198,-0.0015078369876824003,-0.0010102691521613502,-0.11602197868206872,-0.11515474637153324,-0.015069586880568767,-0.01348656855910135
full,regime_overlay,all,-2895.9470479916945,-0.02100734449400027,-0.004621469230458283,-0.004354674000939749,-46056.60920939237,-0.015367171931248647,-0.004828907651490317,-0.0042664179536081,-0.06915787560289025,-0.05863625378612866,-0.010609676537510215,-0.010938943278288898
full,regime_overlay,high,-8683.968241026405,-0.0939872134086984,-0.014164987944171668,-0.0136222403009425,-120960.9705992599,-0.07787448644449319,-0.017013847015911552,-0.0162012290628292,-0.2557003115068957,-0.25296716612193376,-0.018733890083733717,-0.0181556822658059
full,regime_overlay,low,0.04442087061613701,0.04278420951314954,-0.0008394396605986925,-0.000171255157215895,0.0286795973289251,0.02874912909913574,-6.837292447918601e-05,-5.540291767590039e-05,0.15576823837109896,0.13264424668466246,-0.002139401461028799,-0.0016729972487470285
full,regime_overlay,mid,0.015714192121991055,0.02191889757295226,-0.003266984853320817,-0.0032380522734124003,-17169.82994550079,0.03354454099580935,-0.0018092575568540836,-0.0012272491348322002,-0.087992186160267,-0.09656129391846663,-0.01537100744974045,-0.013668279589450699
full,regime_set_calm,all,338.1130233268896,-0.0043204424621431925,0.002670250165098332,0.003066224624692899,-42822.54913807379,-0.00795991926965911,0.0024628117440662987,0.002568613545981849,3233.9909134429813,-0.04090336003696765,-0.003317957141953601,-0.003119731403522251
full,regime_set_calm,high,191.91681393487167,0.008004129819963512,0.0032273928920156327,0.004644388564258899,-112085.08554429865,0.009423953101780708,0.0003785338202757481,0.0011097092749568493,8875.629354649769,-0.14582936071387984,-0.001341509247546415,4.5831917354400425e-05
full,regime_set_calm,low,-0.018981355024263624,-0.018895527794029227,-0.0006254029663999636,-7.068176358625001e-05,-0.03472262831147554,-0.02321893879687545,0.000145663769719543,0.00015042280360109711,0.09236601273069829,0.08153890213654323,-0.0019253647668300699,-0.0014921628817364998
full,regime_set_calm,mid,-0.02331685557956822,-0.027384940722985356,-0.0006690533443817502,-0.0009346641757364501,-17169.868976548492,0.0021382737005562966,0.000788673952084983,0.0017778409521124001,-0.12702323386182626,-0.12328576628232733,-0.012773075940801383,-0.012226546326920499
